"n","prob"
1,0
2,0.00273972602739725
3,0.00820416588478134
4,0.0163559124665503
5,0.0271355736997936
6,0.0404624836491115
7,0.0562357030959754
8,0.074335292351669
9,0.0946238338891667
10,0.116948177711078
11,0.141141378321733
12,0.167024788838064
13,0.194410275232429
14,0.223102512004973
15,0.252901319763686
16,0.28360400525285
17,0.315007665296561
18,0.346911417871789
19,0.379118526031537
20,0.41143838358058
21,0.443688335165206
22,0.47569530766255
23,0.507297234323985
24,0.538344257914529
25,0.568699703969464
26,0.598240820135939
27,0.626859282263242
28,0.654461472342399
29,0.680968537477777
30,0.706316242719269
31,0.730454633728644
32,0.753347527850321
33,0.774971854175772
34,0.795316864620154
35,0.814383238874715
36,0.83218210637988
37,0.848734008216385
38,0.864067821082121
39,0.878219664366722
40,0.891231809817949
41,0.903151611481735
42,0.914030471561869
43,0.92392285565612
44,0.932885368551426
45,0.940975899465775
46,0.948252843367255
47,0.954774402833299
48,0.960597972879423
49,0.965779609322676
50,0.970373579577988
51,0.974431993334428
52,0.978004509334275
53,0.981138113483913
54,0.983876962758852
55,0.986262288816446
56,0.988332354885201
57,0.99012245934117
58,0.991664979389261
59,0.992989448417817
60,0.994122660865348
61,0.995088798805291
62,0.995909574895365
63,0.996604386830947
64,0.997190478966976
65,0.997683107312492
66,0.998095704640405
67,0.9984400429794
68,0.998726391254414
69,0.998963666308386
70,0.999159575965157
71,0.999320753177319
72,0.999452880641457
73,0.999560805556019
74,0.999648644444815
75,0.999719878173811
